"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","Выбрать определенное задание GET /todos @API","chromium","Tue Apr 15 00:41:57 GMT 2025","passed","Tue Apr 15 00:41:58 GMT 2025","API challenge","api.tests.js","",""
"","261","Нельзя запросить несуществующий todo GET /todos @API","chromium","Tue Apr 15 00:41:57 GMT 2025","passed","Tue Apr 15 00:41:57 GMT 2025","API challenge","api.tests.js","",""
"","1742","Проверить пагинацию на главной странице","chromium","Tue Apr 15 00:41:59 GMT 2025","passed","Tue Apr 15 00:42:01 GMT 2025","","ui.tests.js","",""
"","330","Получить полный  список челленджей GET /challenges @API","chromium","Tue Apr 15 00:41:56 GMT 2025","passed","Tue Apr 15 00:41:56 GMT 2025","API challenge","api.tests.js","",""
"","236","Выбрать несуществующее задание GET /todos @API","chromium","Tue Apr 15 00:41:58 GMT 2025","passed","Tue Apr 15 00:41:58 GMT 2025","API challenge","api.tests.js","",""
"","229","Получить список заданий GET /todos @API","chromium","Tue Apr 15 00:41:57 GMT 2025","passed","Tue Apr 15 00:41:57 GMT 2025","API challenge","api.tests.js","",""
"","30011","Выбрать количество товара в карточке","chromium","Tue Apr 15 00:49:15 GMT 2025","broken","Tue Apr 15 00:49:45 GMT 2025","","ui.tests.js","",""
"","30011","Опубликовать отзыв на странице продукта","chromium","Tue Apr 15 00:46:42 GMT 2025","broken","Tue Apr 15 00:47:12 GMT 2025","","ui.tests.js","",""
"","3855","Проверить отображени е товара на главной странице","chromium","Tue Apr 15 00:42:01 GMT 2025","passed","Tue Apr 15 00:42:05 GMT 2025","","ui.tests.js","",""
"","30010","Выбрать валюту в карточке товара","chromium","Tue Apr 15 00:44:08 GMT 2025","broken","Tue Apr 15 00:44:38 GMT 2025","","ui.tests.js","",""
